project,title,dataset,best_algorithm,primary_metric,primary_value,recommendation
causal_discovery,Causal Discovery in Time-Series,Metro Interstate Traffic Volume,hist_gradient_boosting,rmse,426.2988612218246,"Use a gradient-boosted or forest regressor with lagged traffic and weather features when the goal is traffic disruption analysis, and treat Granger significance as supportive evidence rather than definitive causal proof."
conformal_supply_chain,Conformal Prediction for Supply Chains,Store Item Demand Forecasting,random_forest_split_conformal,coverage,0.9122150997150997,"For inventory planning on thin daily demand data, start with split conformal intervals around a tree ensemble because the coverage is easy to calibrate and usually narrower than naive safety-stock rules."
ebm_credit,Explainable Boosting Machines in High-Stakes Domains,Give Me Some Credit / Credit-G,ebm_interactions_dense,roc_auc,0.8170238095238095,"Choose an EBM when you need near-ensemble accuracy with feature-level accountability. If a black-box model only wins marginally, the interpretability trade-off usually favors the EBM in regulated credit workflows."
concept_drift,Handling Concept Drift in Streaming Data,Electricity Market Dataset,hoeffding_tree,post_drift_accuracy,0.7544444444444445,"If your label boundary shifts over time, favor incremental learners with explicit update loops over a frozen batch model, even when the initial batch score looks strong."
federated_low_bandwidth,Federated Learning on Extreme Low-Bandwidth,Adult Census Income,centralized_logistic_regression,accuracy,0.8425,Use top-k or sign-compressed federated updates when uplink budget is the constraint. Full-precision FedAvg is only justified when the last few accuracy points matter more than transmission cost.
tabular_meta_learning,Tabular Meta-Learning,OpenML-style Small Classification Suite,random_forest,balanced_accuracy,1.0,"If you are benchmarking tiny tabular datasets, store meta-features and prior model rankings. Even a simple nearest-dataset recommender can cut the search space before full hyperparameter tuning."
synthetic_privacy,Synthetic Tabular Data Privacy,Credit Card Fraud Detection,dp_histogram,roc_auc,0.8614169570267131,"Use copula-style synthesis when you need stronger utility, and move toward noisier histogram-style methods when privacy risk dominates. A pure bootstrap should only be treated as a utility ceiling, not a private release."
evolutionary_feature_engineering,Automated Feature Engineering via Evolutionary Algorithms,House Prices / Ames-style Regression,random_forest_raw,rmse,32402.312651751254,Use a small evolutionary search when the feature space is rich but hand-engineering is slow. Even a short CPU-only run can surface interactions that linear baselines miss.
graph_imbalance,Imbalanced Data in Graph Neural Networks,Elliptic-style Illicit Transaction Graph,logistic_graph_features,average_precision,0.8395640616693248,"Before training a full GNN stack, benchmark a graph-aware tabular baseline with neighborhood aggregation. On imbalanced graphs it often captures a large share of the graph signal for a fraction of the engineering cost."
tree_noise_robustness,Tree-Based Models vs. Noise,Breast Cancer Wisconsin (Diagnostic),extra_trees,balanced_accuracy,0.9622641509433962,"When data quality is unstable, compare degradation curves rather than only clean-set accuracy. Tree ensembles usually lose performance more gracefully than small neural networks under missingness and label noise."
memory_safe_feature_pipeline,Memory-Safe Feature Extraction Pipelines,NSL-KDD,feature_hashing_pipeline,balanced_accuracy,0.7864974399240974,"Use sparse or hashed feature extraction when intrusion logs start to scale. Dense one-hot matrices are simple, but they become the bottleneck long before the classifier does."
tree_ensemble_optimization,Algorithmic Optimization of Tree Ensembles,Covertype,extra_trees,accuracy,0.876421052631579,Benchmark tree ensembles with both accuracy and systems metrics. ExtraTrees or shallow forests often give a better production trade-off than a raw accuracy leader that is slower to fit or score.
label_encoding_stability,Numerical Stability in Label Encoding,Categorical Encoding Challenge-style Synthetic Benchmark,target_encoding,roc_auc,0.9121724444444445,"Avoid low-width wrapped ordinal codes for high-cardinality features. If memory is tight, prefer sparse one-hot or smoothed target encoding rather than forcing categories into a tiny integer range."
security_aware_intrusion,Security-Aware ML for Intrusion Detection,UNSW-NB15-style Intrusion Detection,hist_gradient_boosting_aggressive,macro_f1,0.7173399116044814,"Treat intrusion detection as a cost-sensitive problem. Pick the model and threshold that maximize attack recall without letting precision collapse, rather than optimizing plain accuracy."
agentic_data_validation,Deterministic Agentic Data Validation,NYC Taxi Trip Duration,validated_hist_gradient_enriched,rmse,83.02329032187879,Validate messy operational data before model selection. Rule-driven cleaning often yields larger gains than swapping between two strong regressors on corrupted inputs.
